recno,Field,RA1,RA2,DE1,DE2,m1,m2,mcen,Nfib,Ngal,f,Night,Frame,plate,_RA.icrs,_DE.icrs
187,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=187,13 09 25.20,13 15 19.58,-02 13 39.0,-01 44 40.6,16.0,17.3,18.15,50,39,0.89,1991-07-03,160,SSA012-700; 1303-03E,13 11 59.80,-02 29 33.9
188,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=188,13 03 30.26,13 09 25.20,-02 13 39.0,-01 44 40.6,16.0,17.3,18.15,50,45,0.68,1991-05-03,147,SSA011-700; 1303-03W,13 06 04.79,-02 29 41.5
189,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=189,13 09 22.85,13 15 05.14,-05 15 41.0,-04 44 23.3,16.28,17.58,18.43,50,39,0.51,1989-06-05,120,SSA004-400; 1303-06E,13 11 58.53,-05 31 36.0
190,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=190,13 03 33.10,13 09 22.85,-05 15 41.0,-04 44 23.3,16.28,17.58,18.43,50,44,0.51,1989-05-05,107,SSA003-400; 1303-06W,13 06 08.62,-05 31 43.4
191,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=191,13 09 31.51,13 15 59.11,-12 43 20.3,-11 16 59.2,14.97,17.67,19.22,112,92,0.86,1994-12-04,205,SSA067-500; 1303-12E,13 12 09.91,-12 59 15.1
192,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=192,13 04 18.02,13 09 31.51,-12 43 20.3,-11 16 59.2,14.97,17.67,19.22,112,68,0.87,1994-11-04,188,SSA073-200; 1303-12W,13 06 56.09,-12 59 21.8
193,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=193,13 21 20.71,13 27 13.63,-02 14 04.9,-01 44 55.7,15.88,17.18,18.13,50,50,0.53,1992-02-03,111,SSA011-400; 1315-03E,13 23 55.45,-02 29 42.7
194,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=194,13 15 26.62,13 21 20.71,-02 14 04.9,-01 44 55.7,15.88,17.18,18.13,50,49,0.67,1990-01-04,174,SSA013-700; 1315-03W,13 18 01.29,-02 29 51.5
195,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=195,13 21 38.35,13 27 29.02,-05 15 22.3,-04 44 30.5,16.1,17.4,18.3,50,28,0.84,1991-04-04,158,SSA020-300; 1315-06E,13 24 14.34,-05 30 59.6
196,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=196,13 15 28.56,13 21 38.35,-05 15 22.3,-04 44 30.5,15.0,17.7,18.85,112,68,0.71,1992-03-04,114,SSA034-300; 1315-06W,13 18 04.39,-05 31 08.8
197,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=197,13 21 39.19,13 28 17.59,-12 42 31.7,-11 16 13.8,14.92,17.62,19.27,112,108,0.83,1993-09-03,171,SSA053-300; 1315-12E,13 24 18.35,-12 58 09.0
198,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=198,13 15 59.11,13 21 39.19,-12 42 31.7,-11 16 13.8,14.92,17.62,19.27,112,57,0.76,1993-08-03,157,SSA052-300; 1315-12W,13 18 37.91,-12 58 17.5
199,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=199,13 33 24.96,13 39 29.93,-02 15 15.8,-01 44 20.8,14.93,17.63,18.78,112,107,0.81,1992-04-04,129,SSA035-300; 1327-03E,13 35 59.84,-02 30 33.7
200,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=200,13 27 28.51,13 33 24.96,-02 15 15.8,-01 44 20.8,16.03,17.33,18.33,50,50,0.59,1991-05-04,172,SSA021-300; 1327-03W,13 30 03.32,-02 30 43.8
201,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=201,13 33 17.66,13 39 07.70,-05 15 34.6,-04 44 09.6,15.98,17.28,18.13,50,48,0.59,1991-07-04,200,SSA022-300; 1327-06E,13 35 53.95,-05 30 52.7
202,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=202,13 27 29.02,13 33 17.66,-05 15 34.6,-04 44 09.6,15.98,17.28,18.13,50,50,0.93,1991-06-04,186,SSA020-700; 1327-06W,13 30 05.17,-05 31 02.6
203,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=203,13 33 30.17,13 39 58.15,-12 43 05.9,-11 16 42.2,15.05,17.75,19.3,112,108,0.59,1994-07-04,135,SSA069-300; 1327-12E,13 36 10.06,-12 58 23.6
204,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=204,13 28 17.59,13 33 30.17,-12 43 05.9,-11 16 42.2,15.05,17.75,19.3,112,96,0.5,1994-06-04,121,SSA068-300; 1327-12W,13 30 57.16,-12 58 32.5
205,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=205,13 45 30.00,13 50 59.86,-02 15 39.6,-01 44 26.2,14.81,17.61,18.71,112,80,0.89,1992-06-04,157,SSA037-300; 1339-03E,13 48 05.02,-02 30 35.0
